Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010001,HUTA PADANG,1209172007,HUTA PADANG
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010002,HUTA BAGASAN,1209172002,HUTA BAGASAN
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010003,BANDAR PASIR MANDOGE,1209172001,BANDAR PASIR MANDOGE
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010004,SUKA MAKMUR,1209172005,SUKA MAKMUR
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010005,SEI KOPAS,1209172006,SEI KOPAS
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010006,SILAU JAWA,1209172004,SILAU JAWA
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010007,SEI NADORAS,1209172003,SEI NADORAS
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010008,TOMUAN HOLBUNG,1209172008,TOMUAN HOLBUNG
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208010,BANDAR PASIR MANDOGE,120917,Bandar Pasir Mandoge,1208010009,GOTTING SIDODADI,1209172009,GOTTING SIDODADI
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020013,BANDAR PULAU PEKAN,1209152003,BANDAR PULAU PEKAN
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020014,PADANG PULAU,1209152010,PADANG PULAU
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020015,PERKEBUNAN PADANG PULAU,1209152016,PERKEBUNAN PADANG PULAU
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020016,BUNTU MARAJA,1209152005,BUNTU MARAJA
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020017,GONTING MALAHA,1209152006,GONTING MALAHA
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020018,PERKEBUNAN AEK TARUM,1209152012,PERKEBUNAN AEK TARUM
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020019,GAJAH SAKTI,1209152021,GAJAH SAKTI
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020020,GUNUNG BERKAT,1209152022,GUNUNG BERKAT
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020021,HUTA RAO,1209152019,HUTA RAO
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208020,BANDAR PULAU,120915,Bandar Pulau,1208020022,AEK NAGALI,1209152020,AEK NAGALI
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208021,AEK SONGSONGAN,120921,Aek Songsongan,1208021001,TANGGA,1209212007,TANGGA
1208,KAB. ASAHAN,1209,KAB. ASAHAN,1208021,AEK SONGSONGAN,120921,Aek Songsongan,1208021002,LOBU RAPPA,1209212006,LOBU RAPPA
