Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010002,PERKEBUNAN SEI BALAI,1219072005,PERKEBUNAN SEI BALAI
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010003,SUKA RAMAI,1219072007,SUKA RAMAI
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010004,SEI BEJANGKAR,1219072008,SEI BEJANGKAR
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010005,PERKEBUNAN SEI BEJANGKAR,1219072010,PERKEBUNAN SEI BEJANGKAR
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010006,SEI BALAI,1219072002,SEI BALAI
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010007,MEKAR MULIO,1219072009,MEKAR MULIO
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010008,KWALA SIKASIM,1219072001,KWALA SIKASIM
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010010,DURIAN,1219072004,DURIAN
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010011,PERJUANGAN,1219072014,PERJUANGAN
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010012,SUKO REJO,1219072017,SUKO REJO
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010013,BENTENG JAYA,1219072012,BENTENG JAYA
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010014,TANAH TIMBUL,1219072013,TANAH TIMBUL
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010015,SIDOMULIO,1219072015,SIDOMULIO
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219010,SEI BALAI,121907,Sei Balai,1219010016,MEKAR BARU,1219072016,MEKAR BARU
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020018,GUNTUNG,1219062002,GUNTUNG
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020019,BAGAN DALAM,1219062004,BAGAN DALAM
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020020,SUKA MAJU,1219062006,SUKA MAJU
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020021,TANJUNG TIRAM,1219061001,TANJUNGTIRAM
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020022,BOGAK,1219062005,BOGAK
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020029,SUKA JAYA,1219062016,SUKA JAYA
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020030,KAMPUNG LALANG,1219062019,KAMPUNG LALANG
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020031,BAGAN ARYA,1219061022,BAGAN ARYA
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020032,PAHLAWAN,1219062017,PAHLAWAN
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219020,TANJUNG TIRAM,121906,Tanjung Tiram,1219020033,BANDAR RAHMAT,1219062018,BANDAR RAHMAT
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219021,NIBUNG HANGUS,121912,Nibung Hangus,1219021001,TANJUNG MULIA,1219122002,TANJUNGMULIA
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219021,NIBUNG HANGUS,121912,Nibung Hangus,1219021002,SEI MENTARAM,1219122008,SEI MENTARAM
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219021,NIBUNG HANGUS,121912,Nibung Hangus,1219021003,PEMATANG RAMBAI,1219122009,PEMATANG RAMBE
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219021,NIBUNG HANGUS,121912,Nibung Hangus,1219021004,BAGAN BARU,1219122011,BAGAN BARU
1219,KAB. BATU BARA,1219,KAB. BATU BARA,1219021,NIBUNG HANGUS,121912,Nibung Hangus,1219021005,UJUNG KUBU,1219122007,UJUNG KUBU
