Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030002,SIDIANGKAT,1211011007,SIDIANGKAT
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030003,BATANG BERUH,1211011009,BATANG BERUH
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030004,BINTANG HULU,1211011015,BINTANG HULU
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030005,KALANG SIMBARA,1211012014,KALANG SIMBARA
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030006,BINTANG,1211012013,BINTANG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030007,KALANG,1211012012,KALANG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030008,KOTA SIDIKALANG,1211011010,SIDIKALANG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030009,BELANG MALUM,1211012008,BELANG MALUM
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030010,KUTA GAMBIR,1211011005,KUTA GAMBIR
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030011,HUTA RAKJAT,1211012011,HUTA RAKYAT
1210,KAB. DAIRI,1211,KAB. DAIRI,1210030,SIDIKALANG,121101,Sidikalang,1210030012,BINTANG MERSADA,1211012017,BINTANG MERSADA
1210,KAB. DAIRI,1211,KAB. DAIRI,1210031,BERAMPU,121113,Berampu,1210031001,BERAMPU,1211132004,BERAMPU
1210,KAB. DAIRI,1211,KAB. DAIRI,1210031,BERAMPU,121113,Berampu,1210031002,KARING,1211132005,KARING
1210,KAB. DAIRI,1211,KAB. DAIRI,1210031,BERAMPU,121113,Berampu,1210031003,BANJAR TOBA,1211132003,BANJAR TOBA
1210,KAB. DAIRI,1211,KAB. DAIRI,1210031,BERAMPU,121113,Berampu,1210031004,PASI,1211132002,PASI
1210,KAB. DAIRI,1211,KAB. DAIRI,1210031,BERAMPU,121113,Berampu,1210031005,SAMBALIANG,1211132001,SAMBALIANG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210032,SITINJO,121115,Sitinjo,1210032001,SITINJO,1211152001,SITINJO
1210,KAB. DAIRI,1211,KAB. DAIRI,1210032,SITINJO,121115,Sitinjo,1210032003,PANJI DABUTAR,1211151004,PANJI DABUTAR
1210,KAB. DAIRI,1211,KAB. DAIRI,1210032,SITINJO,121115,Sitinjo,1210032012,SITINJO I,1211152002,SITINJO I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210032,SITINJO,121115,Sitinjo,1210032013,SITINJO II,1211152003,SITINJO II
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040001,PARBULUAN II,1211102005,PARBULUAN II
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040002,PARBULUAN I,1211102006,PARBULUAN I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040003,PARBULUAN V,1211102007,PARBULUAN V
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040004,PARBULUAN III,1211102004,PARBULUAN III
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040005,PARBULUAN IV,1211102003,PARBULUAN IV
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040006,PARBULUAN VI,1211102008,PARBULUAN VI
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040007,LAE HOLE,1211102002,LAE HOLE
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040008,B A N G U N,1211102001,BANGUN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040009,LAE HOLE I,1211102009,LAE HOLE I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040010,LAE HOLE II,1211102010,LAE HOLE II
1210,KAB. DAIRI,1211,KAB. DAIRI,1210040,PARBULUAN,121110,Parbuluan,1210040011,BANGUN I,1211102011,BANGUN I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050001,PEGAGAN JULU V,1211022006,PAGAGAN JULU V
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050002,PEGAGAN JULU IV,1211022008,PAGAGAN JULU IV
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050003,PEGAGAN JULU II,1211022010,PAGAGAN JULU II
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050004,PEGAGAN JULU I,1211021007,PAGAGAN JULU I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050005,PEGAGAN JULU III,1211022009,PAGAGAN JULU III
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050006,PEGAGAN JULU VI,1211022005,PAGAGAN JULU VI
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050007,PEGAGAN JULU VII,1211022004,PAGAGAN JULU VII
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050008,PEGAGAN JULU VIII,1211022003,PAGAGAN JULU VIII
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050009,PEGAGAN JULU IX,1211022002,PAGAGAN JULU IX
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050010,PEGAGAN JULU X,1211022001,PAGAGAN JULU X
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050011,TANJUNG BERINGIN,1211022014,TANJUNG BERINGIN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050012,DOLOK TOLONG,1211022015,DOLOK TOLONG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050013,KUTA GUGUNG,1211022020,KUTA GUGUNG
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050014,PARGAMBIRAN,1211022017,PARGAMBIRAN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050015,PERJUANGAN,1211022018,PERJUANGAN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050016,SILEUH-LEUH PARSAORAN,1211022024,SILEUH-LEUH PARSAORAN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050017,PANGGURUAN,1211022026,PANGGURUAN
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050018,TANJUNG BERINGIN I,1211022027,TANJUNG BERINGIN I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210050,SUMBUL,121102,Sumbul,1210050019,BARISAN NAULI,1211022025,BARISAN NAULI
1210,KAB. DAIRI,1211,KAB. DAIRI,1210051,SILAHISABUNGAN,121114,Silahisabungan,1210051001,SILALAHI II,1211142001,SILALAHI II
1210,KAB. DAIRI,1211,KAB. DAIRI,1210051,SILAHISABUNGAN,121114,Silahisabungan,1210051002,SILALAHI I,1211142002,SILALAHI I
1210,KAB. DAIRI,1211,KAB. DAIRI,1210051,SILAHISABUNGAN,121114,Silahisabungan,1210051003,PAROPO,1211142003,PAROPO
1210,KAB. DAIRI,1211,KAB. DAIRI,1210051,SILAHISABUNGAN,121114,Silahisabungan,1210051004,SILALAHI III,1211142004,SILALAHI III
