Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010001,KUTA BAYU,1207012001,KUTA BAYU
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010002,GUNUNG SINEMBAH,1207012005,GUNUNG SINEMBAH
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010003,GUNUNG PARIBUAN,1207012002,GUNUNG PARIBUAN
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010004,SIMEMPAR,1207012003,SIMEMPAR
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010005,GUNUNG SERIBU,1207012004,GUNUNG SERIBU
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010006,KUTA TENGAH,1207012007,KUTA TENGAH
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010007,PEKAN GUNUNG MERIAH,1207012008,PEKAN GUNUNG MARIAH
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010008,GUNUNG MERIAH,1207012009,GUNUNG MERIAH
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010009,BINTANG MERIAH,1207012006,BINTANG MERIAH
1212,KAB. DELI SERDANG,1207,KAB. DELI SERDANG,1212010,GUNUNG MERIAH,120701,Gunung Meriah,1212010010,UJUNG MERIAH,1207012010,UJUNG MERIAH
