Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010001,TUKKA DOLOK,1216092006,TUKKA DOLOK
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010002,PAKKAT HAUAGONG,1216092015,PAKKAT HAUAGONG
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010003,PURBA BERSATU,1216092001,PURBA BERSATU
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010004,PURBA BARINGIN,1216092002,PURBA BARINGIN
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010005,KARYA,1216092003,KARYA
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010006,MANALU,1216092004,MANALU
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010007,PULO GODANG,1216092014,PULO GODANG
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010008,SIPAGABU,1216092009,SIPAGABU
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010009,BANUAREA,1216092010,BANUAREA
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010010,SIJARANGO,1216092005,SIJARANGO
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010011,LUMBAN TONGA TONGA,1216092013,LUMBAN TONGA-TONGA
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010012,RURA TANJUNG,1216092011,RURA TANJUNG
1215,KAB. HUMBANG HASUNDUTAN,1216,KAB. HUMBANG HASUNDUTAN,1215010,PAKKAT,121609,Pakkat,1215010013,RURA AEK SOPANG,1216092012,RURA AEK SOPANG
