Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010001,LAU SOLU,1206102010,LAU SOLU
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010002,KUTA PENGKIH,1206102006,KUTA PENGKIH
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010003,RIMO BUNGA,1206102004,RIMO BUNGA
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010004,LAU MULGAP,1206102002,LAU MULGAP
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010005,TANJUNG PAMAH,1206102005,TANJUNG PAMAH
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010006,MARDINGDING,1206102008,MARDINGDING
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010007,LAU KASUMPAT,1206102003,LAU KESUMPAT
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010008,BANDAR PURBA,1206102007,BANDAR PURBA
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010009,LAU PENGULU,1206102001,LAU PENGULU
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010010,LAU PAKAM,1206102009,LAU PAKAM
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010011,LAU GARUT,1206102011,LAU GARUT
1211,KAB. KARO,1206,KAB. KARO,1211010,MARDINGDING,120610,Mardingding,1211010012,BUKIT MAKMUR,1206102012,BUKIT MAKMUR
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020001,LAU PERANGGUNAN,1206092003,LAU PERANGGUNEN
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020002,DURIN RUGUN,1206092006,DURIN RUGUN
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020003,KINANGKONG,1206092010,KINANGKONG
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020004,LAU PERADEP,1206092012,LAU PERADEP
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020005,LAUBALENG,1206092005,LAU BALENG
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020006,TANJUNG GUNUNG,1206092004,TANJUNG GUNUNG
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020007,KUTAMBELIN,1206092008,KUTAMBELIN
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020008,MARTELU,1206092001,MARTELU
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020009,LINGGA MUDA,1206092009,LINGGA MUDA
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020010,MBAL-MBAL PETARUM,1206092002,MBAL-MBAL PETARUM
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020011,PERBULAN,1206092007,PERBULAN
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020012,BULUH PANCUR,1206092013,BULUH PANCUR
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020013,RAMBAH TAMPU,1206092011,RAMBAH TAMPU
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020014,BATU RONGKAM,1206092014,BATU RONGKAM
1211,KAB. KARO,1206,KAB. KARO,1211020,LAUBALENG,120609,Laubaleng,1211020015,PINTU ANGIN,1206092015,PINTU ANGIN
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030001,LAU KAPUR,1206082007,LAU KAPUR
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030002,KEM KEM,1206082002,KEM KEM
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030003,GUNUNG,1206082001,GUNUNG
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030004,SIMPANG PERGENDANGEN,1206082012,SIMPANG PERGENDANGEN PERLAMBEN
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030005,PERGENDANGEN,1206082010,PERGENDANGEN
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030006,TIGABINANGA,1206081019,TIGA BINANGA
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030007,KUTA GALOH,1206082015,KUTA GALOH
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030008,KUTA RAYA,1206082009,KUTA RAYA
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030009,BUNGA BARU,1206082016,BUNGA BARU
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030010,PERTUMBUKEN,1206082003,PERTUMBUKEN
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030011,KUALA,1206082004,KUALA
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030012,KUTA BUARA,1206082018,KUTA BUARA
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030013,SIMOLAP,1206082011,SIMOLAP
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030014,KUTA BANGUN,1206082008,KUTA BANGUN
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030015,SUKAJULU,1206082014,SUKA JULU
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030016,KUTAMBARU PUNTI,1206082017,KUTA MBARU PUNTI
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030017,KUTA GERAT,1206082013,KUTA GERAT
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030018,LIMANG,1206082005,LIMANG
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030019,PERBESI,1206082006,PERBESI
1211,KAB. KARO,1206,KAB. KARO,1211030,TIGA BINANGA,120608,Tigabinanga,1211030020,BATUMAMAK,1206082020,BATU MAMAK
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040001,NAMOSURO,1206072004,NAMOSURO
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040002,JANDI,1206072019,JANDI
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040003,NAGA,1206072013,NAGA
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040004,KETAWAREN,1206072018,KETAWAREN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040005,LAU KIDUPEN,1206072023,LAU KIDUPEN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040006,LAU LINGGA,1206072002,LAU LINGGA
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040007,PERNANTIN,1206072007,PERNANTIN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040008,BEKILANG,1206072005,BEKILANG
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040009,BULUH PANCUR,1206072020,BULUH PANCUR
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040010,JUHAR TARIGAN,1206072010,JUHAR TARIGAN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040011,JUHAR PERANGIN-ANGIN,1206072001,JUHAR PERANGIN-ANGIN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040012,KIDUPEN,1206072003,KIDUPEN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040013,PASAR BARU,1206072011,PASAR BARU
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040014,MBETUNG,1206072015,MBETONG
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040015,GUNUNG JUHAR,1206072017,GUNUNG JUHAR
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040016,JUHAR GINTING,1206072009,JUHAR GINTING
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040017,SIGENDERANG,1206072024,SIGENDERANG
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040018,BATUMAMAK,1206072012,BATU MAMAK
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040019,NAGERI,1206072008,NAGERI
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040020,SUGIHEN,1206072006,SUGIHEN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040021,SUKABABO,1206072022,SUKABABO
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040022,KUTAGUGUNG,1206072021,KUTAGUGUNG
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040023,KERIAHEN,1206072016,KERIAHEN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040024,KUTAMBELIN,1206072014,KUTAMBELIN
1211,KAB. KARO,1206,KAB. KARO,1211040,JUHAR,120607,Juhar,1211040025,JUHAR GINTING SADANIOGA,1206072025,JUHAR GINTING SADANIOGA
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050001,SARIMUNTE,1206062011,SARIMUNTE
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050002,KUTAMBARU,1206062006,KUTAMBARU
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050003,GUNUNG SARIBU,1206062019,GUNUNG SARIBU
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050004,KABANTUA,1206062012,KABAN TUA
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050005,GURUBENUA,1206062021,GURUBENUA
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050006,BARUNG KERSAP,1206062005,BARUNG KERSAP
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050007,BIAK NAMPE,1206062022,BIAKNAMPE
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050008,TANJUNG BERINGIN,1206062014,TANJUNG BERINGIN
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050009,PERTUMBUNGEN,1206062010,PERTUMBUNGEN 
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050010,PARIMBALANG,1206062018,PARIMBALANG
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050011,MUNTE,1206062002,MUNTE
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050012,GUNUNG MANUMPAK,1206062013,GUNUNG MANUMPAK
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050013,SELAKKAR,1206062017,SELAKKAR
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050014,SARINEMBAH,1206062016,SARINEMBAH
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050015,SINGGAMANIK,1206062008,SINGGAMANIK
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050016,NAGERI,1206062001,NAGERI
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050017,KUTASUAH,1206062015,KUTA SUAH
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050018,KINEPPEN,1206062003,KINEPPEN
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050019,BULUH NAMAN,1206062007,BULUHNAMAN
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050020,BANDAR MERIAH,1206062004,BANDAR MERIAH
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050021,SUKARAME,1206062020,SUKARAME
1211,KAB. KARO,1206,KAB. KARO,1211050,MUNTE,120606,Munte,1211050022,KUTAGERAT,1206062009,KUTA GERAT
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060001,POLA TEBU,1206132015,POLA TEBU
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060002,GUNUNG MERIAH,1206132009,GUNUNG MERIAH
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060003,NEGERI JAHE,1206132001,NEGERI JAHE
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060004,BUAH RAYA,1206132010,BUAH RAYA
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060005,BINTANG MERIAH,1206132005,BINTANG MERIAH
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060006,SIABANG ABANG,1206132003,SIABANG-ABANG
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060007,JINABUN,1206132006,JINABUN
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060008,KUTA BULUH,1206132013,KUTABULUH
1211,KAB. KARO,1206,KAB. KARO,1211060,KUTA BULUH,120613,Kutabuluh,1211060009,LAU BULUH,1206132004,LAU BULUH
