Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050001,TANJUNG SIRAM,1210092002,TANJUNG SIRAM
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050002,S SATU AEK NABARA,1210092019,S-1 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050003,KAMPUNG DALAM,1210092008,KAMPUNG DALAM
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050004,LINGGA TIGA,1210092001,LINGGA TIGA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050005,BANDAR TINGGI,1210092007,BANDAR TINGGI
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050006,S TIGA AEK NABARA,1210092021,S-3 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050007,S EMPAT AEK NABARA,1210092022,S-4 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050008,S LIMA AEK NABARA,1210092023,S-5 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050009,S ENAM AEK NABARA,1210092024,S-6 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050010,N DELAPAN AEK NABARA,1210092018,N-8 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050011,N LIMA AEK NABARA,1210092015,N-5 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050012,S DUA AEK NABARA,1210092020,S-2 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050013,N TIGA AEK NABARA,1210092013,N-3 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050014,N DUA AEK NABARA,1210092012,N-2 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050015,N EMPAT AEK NABARA,1210092014,N-4 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050016,PERBAUNGAN,1210092004,PERBAUNGAN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050017,N TUJUH AEK NABARA,1210092017,N-7 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050018,MERANTI,1210092010,MERANTI
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050019,GUNUNG SELAMAT,1210092005,GUNUNG SELAMAT
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050020,N ENAM AEK NABARA,1210092016,N-6 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050021,PEMATANG SELENG,1210092003,PEMATANG SELENG
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050022,PONDOK BATU,1210092009,PONDOK BATU
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050023,EMPLASMEN AEK NABARA,1210092006,EMPLASEMEN AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207050,BILAH HULU,121009,Bilah Hulu,1207050024,N SATU AEK NABARA,1210092011,N-1 AEK NABARA
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070001,SIDORUKUN,1210142001,SIDORUKUN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070002,PERKEBUNAN PANGKATAN,1210142003,PERKEBUNAN PANGKATAN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070003,TEBING TINGGI PANGKATAN,1210142002,TEBING TINGGI PANGKATAN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070004,KAMPUNG PADANG,1210142004,KAMPUNG PADANG
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070005,TANJUNG HARAPAN,1210142007,TANJUNG HARAPAN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070006,PANGKATAN,1210142005,PANGKATAN
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207070,PANGKATAN,121014,Pangkatan,1207070007,SENNAH,1210142006,SENNAH
1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,1207080,BILAH BARAT,121007,Bilah Barat,1207080001,SIBARGOT,1210072001,SIBARGOT
