Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010001,BATANG NADENGGAN,1222042002,BATANG NADENGGAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010002,LANGGA PAYUNG,1222041001,LANGGA PAYUNG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010003,SABUNGAN,1222042003,SABUNGAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010004,HAJORAN,1222042004,HAJORAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010005,UJUNG GADING,1222042005,UJUNG GADING
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010006,HUTA GODANG,1222042006,HUTA GODANG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010007,PARIMBURAN,1222042007,PARIMBURAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010008,SAMPEAN,1222042008,SAMPEAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222010,SUNGAI KANAN,122204,Sungai Kanan,1222010009,MARSONJA,1222042009,MARSONJA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020001,BUKIT TUJUH,1222032013,BUKIT TUJUH
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020002,SEI MERANTI,1222032014,SEI MERANTI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020003,TORGANDA,1222032011,TORGANDA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020004,TORGAMBA,1222032009,TORGAMBA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020005,AEK RASO,1222032008,AEK RASO
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020006,RASAU,1222032002,RASAU
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020007,BANGAI,1222032001,BANGAI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020008,TELUK RAMPAH,1222032003,TELUK RAMPAH
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020009,AEK BATU,1222032006,AEK BATU
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020010,BERINGIN JAYA,1222032012,BERINGIN JAYA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020011,PINANG DAME,1222032007,PINANG DAMAI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020012,ASAM JAWA,1222032010,ASAM JAWA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020013,PANGARUNGAN,1222032004,PANGARUNGAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222020,TORGAMBA,122203,Torgamba,1222020014,BUNUT,1222032005,BUNUT
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030001,SIMATAHARI,1222012002,SIMATAHARI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030002,PASIR TUNTUNG,1222012004,PASIR TUNTUNG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030003,MAMPANG,1222012003,MAMPANG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030004,HADUNDUNG,1222012006,HADUNDUNG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030005,PERKEBUNAN NORMARK,1222012008,PERKEBUNAN NOMARK
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030006,SOSOPAN,1222012007,SOSOPAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030007,PERKEBUNAN NAGODANG,1222012009,PERKEBUNAN NAGODANG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030008,KOTA PINANG,1222011001,KOTA PINANG
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030009,PERKEBUNAN SEI RUMBIA,1222012010,PERK. SEI RUMBIA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222030,KOTA PINANG,122201,Kotapinang,1222030010,SISUMUT,1222012005,SISUMUT
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040001,BINANGA DUA,1222052002,BINANGA II
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040002,MANDALA SENA,1222052001,MANDALA SENA
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040003,ULU MAHUAM,1222052004,ULU MAHUAM
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040004,AEK GOTI,1222052003,AEK GOTI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040005,RINTIS,1222052005,RINTIS
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222040,SILANGKITANG,122205,Silangkitang,1222040006,SUKADAME,1222052006,SUKADAME
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050001,PERLABIAN,1222022009,KAMPUNG PERLABIAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050002,PERKEBUNAN PERLABIAN,1222022001,PERK. PELABIAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050003,PEKAN TOLAN,1222022005,PERK. TOLAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050004,PERKEBUNAN TOLAN I/II,1222022003,PERK. TOLAN I/II
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050005,AIR MERAH,1222022006,AIR MERAH
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050006,PERKEBUNAN BATANG SEPONGGOL,1222022004,PERK. BATANG SAPONGGOL
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050007,PERKEBUNAN TELUK PANJI,1222022002,PERK. TELUK PANJI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050008,TELUK PANJI I,1222022012,TELUK PANJI I
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050009,TELUK PANJI II,1222022013,TELUK PANJI II
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050010,TELUK PANJI III,1222022014,TELUK PANJI III
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050011,TELUK PANJI IV,1222022015,TELUK PANJI IV
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050012,TELUK PANJI,1222022007,TELUK PANJI
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050013,TANJUNG MEDAN,1222022008,TANJUNG MEDAN
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050014,TANJUNG SELAMAT,1222022010,TANJUNG SELAMAT
1222,KAB. LABUHANBATU SELATAN,1222,KAB. LABUHANBATU SELATAN,1222050,KAMPUNG RAKYAT,122202,Kampung Rakyat,1222050015,TANJUNG MULIA,1222022011,TANJUNG MULIA
