Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010001,PEMATANG,1223062002,PEMATANG
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010002,BATU TUNGGAL,1223062003,BATU TUNGGAL
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010003,SUNGAI RAJA,1223062004,SUNGAI RAJA
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010004,PERKEBUNAN BERANGIR,1223062005,PERKEBUNAN BERANGIR
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010005,PASANG LELA,1223062011,PASANG LELA
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010006,SILUMAJANG,1223062006,SILUMAJANG
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010007,HATAPANG,1223062010,HATAPANG
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010008,MERANTI OMAS,1223062009,MERANTI OMAS
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010009,BANGUN REJO,1223062013,BANGUN REJO
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010010,KAMPUNG PAJAK,1223062008,KAMPUNG PAJAK
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010011,AEK KOTA BATU,1223061001,AEK KOTA BATU
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010012,SIMPANG MARBAU,1223062012,SIMPANG MARBAU
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223010,NA IX-X,122306,Na IX - X,1223010013,PULO JANTAN,1223062007,PULO JANTAN
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020001,PERKEBUNAN PERNANTIAN,1223052002,PERKEBUNAN PERNANTIAN
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020002,PERKEBUNAN MARBAU SELATAN,1223052003,PERK. MARBAU SELATAN
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020003,PERKEBUNAN MILANO,1223052004,PERKEBUNAN MILANO
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020004,PULO BARGOT,1223052006,PULO BARGOT
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020005,SUMBER MULYO,1223052018,SUMBER MULYO
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020006,SIPARE-PARE HILIR,1223052008,SIPAREPARE HILIR
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020007,SIPARE-PARE TENGAH,1223052007,SIPAREPARE TENGAH
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020008,TUBIRAN,1223052009,TUBIRAN
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020009,BELONGKUT,1223052010,BELONGKUT
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020010,SIMPANG EMPAT,1223052011,SIMPANG EMPAT
1223,KAB. LABUHANBATU UTARA,1223,KAB. LABUHANBATU UTARA,1223020,MARBAU,122305,Marbau,1223020011,MARBAU,1223051001,MARBAU
