Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010001,BATU JONG JONG,1205012014,BATU JONJONG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010002,LAU DAMAK,1205012002,LAU DAMAK
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010003,TIMBANG LAWAN,1205012003,TIMBANG LAWAN
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010004,SAMPE RAYA,1205012004,SAMPERAYA
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010005,BUKIT LAWANG,1205012009,PERKEBUNAN B. LAWANG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010006,PERKEBUNAN BUNGARA,1205012008,PERKEBUNAN BUNGARA
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010007,PEKAN BAHOROK,1205011001,PEKAN BAHOROK
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010008,EMPUS,1205012011,EMPUS
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010009,PERKEBUNAN TURANGI,1205012007,PERKEBUNAN TURANGI
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010010,SIMPANG PULAU RAMBUNG,1205012012,SIMPANG PULAU RAMBUNG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010011,SEMATAR,1205012015,SEMATAR
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010012,PERKEBUNAN PULAU RAMBUNG,1205012016,PERKEBUNAN P RAMBUNG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010013,SUKA RAKYAT,1205012006,SUKA RAKYAT
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010014,TANJUNG LENGGANG,1205012005,TANJUNG LENGGANG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010017,PERKEBUNAN SEI MUSAM,1205012021,PERKEBUNAN S MUSAM
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010018,SEI MUSAM KENDIT,1205012017,SEI MUSAM KENDIT
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010020,TIMBANG JAYA,1205012020,TIMBANG JAYA
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010021,MUSAM PEMBANGUNAN,1205012013,SEI MUSAM PEMBANGUNAN
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213010,BOHOROK,120501,Bahorok,1213010023,UJUNG BANDAR,1205012022,UJUNG BANDAR
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011001,SUMBER JAYA,1205212009,SUMBER JAYA
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011002,PULAU SEMIKAT,1205212008,PULAU SEMIKAT
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011003,SEBERTUNG,1205212007,SEBERTUNG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011004,PERKEBUNAN AMAL TANI,1205212010,PERKEBUNAN AMAL TANI
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011005,SIDOREJO,1205212003,SIDOREJO
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011006,GUNUNG TINGGI,1205212002,GUNUNG TINGGI
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011007,SERAPIT,1205212001,SERAPIT
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011008,SUKAPULUNG,1205212004,SUKA PULUNG
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011009,TANJUNG KERIAHAN,1205212006,TANJUNG KARIAHAN
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213011,SIRAPIT,120521,Sirapit,1213011010,AMAN DAMAI,1205212005,AMAN DAMAI
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020005,UJUNG BANDAR,1205022019,UJUNG BANDAR
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020006,PARANGGUAM,1205022021,PARANGGUAM
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020007,PERKEBUNAN TAMBUNAN,1205022004,PERK.TAMBUNAN
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020008,LAU TEPU,1205022020,LAU TEPU
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020009,PAMA TAMBUNAN,1205022011,PAMA TAMBUNAN
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020010,PERKEBUNAN GLUGUR LANGKAT,1205022005,PERK.GELUGUR LANGKAT
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020015,BANDAR TELU,1205022006,PERK.BANDAR TELU
1213,KAB. LANGKAT,1205,KAB. LANGKAT,1213020,SALAPIAN,120502,Salapian,1213020016,TURANGI,1205022009,TURANGI
