Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010001,PULAU TAMANG,1213152013,PULAU TAMANG
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010002,PASAR BATAHAN,1213152012,PASAR BATAHAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010003,BATAHAN I,1213152003,BATAHAN I
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010004,BANJAR AUR,1213152001,BANJAR AUR
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010005,KAMPUNG KAPAS,1213152007,KAMPUNG KAPAS
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010006,BATUSONDAT,1213152004,BATU SONDAT
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010007,BINTUNGAN BEJANGKAR,1213152005,BINTUNGAN BEJANGKAR
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010010,KUBANGAN TOMPEK,1213152009,KUBANGAN TOMPEK
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010013,PASAR BARU BATAHAN,1213151011,PASAR BARU BATAHAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010014,KUALA BATAHAN,1213152008,KUALA BATAHAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010015,SARI KENANGA,1213152014,SARI KENANGA BATAHAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010016,MUARA PERTEMUAN,1213152010,MUARA PERTEMUAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010019,BATAHAN II,1213152019,BATAHAN II
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010020,BATAHAN III,1213152020,BATAHAN III
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010021,BATAHAN IV,1213152021,BATAHAN IV
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010022,KAMPUNG KAPAS I,1213152023,KAMPUNG KAPAS I
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010024,SINUNUKAN VI,1213152022,SINUNUKAN VI
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202010,BATAHAN,121315,Batahan,1202010027,KUBANGAN PANDAN SARI,1213152024,KUBANGAN PANDAN SARI
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011001,SINUNUKAN IV,1213222004,SINUNUKAN IV
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011002,SINUNUKAN II,1213222002,SINUNUKAN II
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011003,SINUNUKAN I CENTRAL,1213222014,SINUNUKAN I CENTRAL
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011004,SINUNUKAN III,1213222003,SINUNUKAN III
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011005,BANJAR AUR UTARA,1213222006,BANJAR AUR UTARA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011006,BINTUNGAN BEJANGKAR BARU,1213222005,BINTUNGAN BEJANGKAR BARU
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011007,KAMPUNG KAPAS II,1213222007,KAMPUNG KAPAS II
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011008,PASIR PUTIH,1213222013,PASIR PUTIH
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011009,SUKA DAMAI,1213222012,SUKA DAMAI
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011010,WIDO DAREN,1213222010,WIDO DAREN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011011,WONO SARI,1213222011,WONO SARI
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011012,SINUNUKAN I,1213222001,SINUNUKAN I
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011013,SIDOMAKMUR,1213222009,SIDO MAKMUR
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202011,SINUNUKAN,121322,Sinunukan,1202011014,AIRAPA,1213222008,AIRAPA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020010,AEK NABARA,1213132004,AEK NABARA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020027,AMPUNG SIALA,1213132008,AMPUNG SIALA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020028,MUARA PARLAMPUNGAN,1213132016,MUARA PARLAMPUNGAN
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020029,BANJAR MALAYU,1213132010,BANJAR MALAYU
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020030,MUARA SOMA,1213131017,MUARA SOMA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020031,AMPUNG PADANG,1213132007,AMPUNG PADANG
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020032,SIPOGU,1213132021,SIPOGU
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020033,TOMBANG KALUANG,1213132024,TOMBANG TALUANG
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020034,BANGKELANG,1213132009,BANGKELANG
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020035,AEK NANGALI,1213132005,AEK NANGALI
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020036,RAO-RAO,1213132019,RAO RAO
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020037,AEK GUO,1213132001,AEK GUO
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020038,TARLOLA,1213132023,TARLOLA
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020039,AMPUNG JULU,1213132006,AMPUNG JULU
1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,1202020,BATANG NATAL,121313,Batang Natal,1202020040,SOPO TINJAK,1213132022,SOPO TINJAK
