Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060015,TETEGEONA'AI,1204102006,TETEGEONA`AI
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060016,LAOWO HILIMBARUZO,1204102007,LAOWO HILIMBARUZO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060017,HILILAWAE,1204102008,HILILAWAE
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060018,TUHEWAEBU,1204102009,TUHEWAEBU
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060023,SISOBAHILI IRAONOHURA,1204102014,SISOBAHILI IRAONO HURA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060024,HILIMOASIO,1204102005,HILIMOASIO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060025,OLADANO,1204102016,OLADANO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060026,AHEDANO,1204102017,AHEDANO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060027,HILINAA TAFUO,1204102018,HILINA`A TAFUO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060028,HILIONOZEGA,1204102019,HILIONO ZEGA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060029,MONDRALI,1204102020,MONDRALI
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060036,AWONI LAUSO,1204102026,AWONI LAUSO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060037,BOBOZIOLI LOLOANAA,1204102027,BOBOZIOLI LOLOANA`A
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060038,TETEHOSI,1204102022,TETEHOSI
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060039,SAIWAHILI HILIADULO,1204102023,SAIWAHILI HILI`ADULO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060040,MALIWAA,1204102024,MALIWA`A
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060041,BIOUTI,1204102025,BIOUTI
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060042,BOZIHONA,1204102015,BOZIHONA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060043,HILIMOASIO DUA,1204102036,HILIMOASIO DUA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060044,HILIADULO,1204102035,HILI`ADULO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060045,ORAHILI ZUZUNDRAO,1204102032,ORAHILI ZUZUNDRAO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060046,TIGA SERANGKAI MALIWAA,1204102033,TIGA SERANGKAI MALIWA`A
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060047,HILIGOGOWAYA MALIWAA,1204102034,HILIGOGOWAYA MALIWA`A
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060048,LAIRA,1204102029,LAIRA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060049,OTALUA,1204102030,OTALUA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060050,BARUZO,1204102031,BARUZO
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060051,SANDRUTA,1204102028,SANDRUTA
1201,KAB. NIAS,1204,KAB. NIAS,1201060,IDANO GAWO,120410,Idanogawo,1201060052,BIOUTI TIMUR,1204102037,BIOUTI TIMUR
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061001,SIOFA BANUA,1204112015,SIOFABANUA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061002,SIFAOROASI ULUHOU,1204112016,SIFAOROASI ULU HOU
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061003,GAZAMANU,1204112004,GAZAMANU
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061004,HILIGANOITA,1204112003,HILIGANOITA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061005,SISARAHILI BAWOLATO,1204112002,SISARAHILI BAWOLATO
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061006,DAHANA,1204112017,DAHANA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061007,HILIHORU,1204112005,HILIHORU
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061008,HILIALAWA,1204112006,HILIALAWA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061009,HILIWAROKHA,1204112008,HILIWAROKHA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061010,HILIFAOSI,1204112007,HILIFAOSI
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061011,SITOLUBANUA,1204112009,SITOLU BANUA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061012,ORAHILI,1204112013,ORAHILI
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061013,SIOFAEWALI,1204112010,SIOFAEWALI
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061014,SOHOYA,1204112011,SOHOYA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061015,TAGAULE,1204112014,TAGAULE
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061016,BOTOHAENGA,1204112012,BOTOHAENGA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061017,SINDRONDRO,1204112025,SINDRONDRO
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061018,HILIHAO CUGALA,1204112022,HILIHAO CUGALA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061019,SIOFAEWALI SELATAN,1204112020,SI`OFAEWALI SELATAN
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061020,LAGASIMAHE,1204112021,LAGASIMAHE
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061021,ORAHUA,1204112018,ORAHUA
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061022,HOU,1204112024,HOU
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061023,BANUA SIBOHOU SILIMA EWALI,1204112019,BANUA SIBOHOU SILIMA EWALI
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061024,BALALE TOBAA,1204112026,BALALE TOBA`A
1201,KAB. NIAS,1204,KAB. NIAS,1201061,BAWOLATO,120411,Bawolato,1201061025,ORAHUA FAONDRATO,1204112023,ORAHUA FAONDRATO
