Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010001,BAWOSALOO,1225022001,BAWOSALOO
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010002,IMANA,1225022002,IMANA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010003,TUWA TUWA,1225022003,TUWA TUWA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010004,KAFO KAFO,1225022004,KAFO KAFO
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010005,BAWASAWA,1225022005,BAWASAWA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010006,PULAU BOGI,1225022006,PULAU BOGI
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010007,HALAMONA,1225022007,HALAMONA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010008,HANOFA,1225022008,HANOFA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010009,LAHAWA,1225022009,LAHAWA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010010,HINAKO,1225022010,HINAKO
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010011,SINENE ETO,1225022011,SINENEETO
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010012,BALOWONDRATE,1225022012,BALOWONDRATE
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010013,SIROMBU,1225022021,SIROMBU
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010014,TOGIDEU,1225022022,TOGIDEU
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010015,TUGALA,1225022023,TUGALA
1225,KAB. NIAS BARAT,1225,KAB. NIAS BARAT,1225010,SIROMBU,122502,Sirombu,1225010016,TUGALAGAWU,1225022020,TUGALA GAWU
