Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010001,DURU,1214042001,DURU
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010002,TUWASO,1214042002,TUWASO
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010003,HILIOROMAO,1214042003,HILIOROMAO
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010004,EHO,1214042004,EHO
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010005,SIALEMA,1214042005,SIALEMA
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010006,BAWONIFAOSO,1214042006,BOWONIFAOSO
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010007,HILIANOMBASELA,1214042007,HILIANOMBASELA
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010008,LUMBUI MELAYU,1214042008,LUMBUI MELAYU
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010009,HILIORUDUA TEBOLO,1214042009,HILIORODUA TEBOLO
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010010,TEBOLO MELAYU,1214042010,TEBOLO MELAYU
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010016,BARUYU SIBOHOU,1214042022,BARUYU SIBOHOU
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010017,LUMBUI NIAS,1214042021,LUMBUI NIAS
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010018,TANOMOKINO,1214042024,TANO MOKINU
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010019,SEPAKAT,1214042023,SEPAKAT
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010020,HILIKANA,1214042025,HILIKANA
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010021,BAWOOTANIO OMEGA,1214042027,OMEGA
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214010,HIBALA,121404,Hibala,1214010022,HILINIFAESE,1214042026,HILINIFAESE
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214011,TANAH MASA,121431,Tanah Masa,1214011001,MAKOLE,1214312007,MAKOLE
1214,KAB. NIAS SELATAN,1214,KAB. NIAS SELATAN,1214011,TANAH MASA,121431,Tanah Masa,1214011002,JEKE,1214312006,JEKE
