Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010001,HUMENE SIHENEASI,1224082005,HUMENE SIHENEASI
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010002,FABALIWA OYO,1224082003,FABALIWA OYO
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010003,SIWAWO,1224082002,SIWAWO
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010004,GUNUNG TUA,1224082006,GUNUNG TUA
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010005,ONONAZARA,1224082004,ONONAZARA
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010006,TEOLO,1224082001,TE`OLO
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010007,BOTONA AI,1224082007,BOTONA`AI
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224010,TUGALA OYO,122408,Tugala Oyo,1224010008,HAREFA,1224082008,HAREFA
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224020,ALASA,122407,Alasa,1224020001,BITAYA,1224072001,BITAYA
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224020,ALASA,122407,Alasa,1224020002,LAHEMBOHO,1224072002,LAHEMBOHO
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224020,ALASA,122407,Alasa,1224020003,HILISEBUA SIWALUBANUA,1224072014,SIWABANUA
1224,KAB. NIAS UTARA,1224,KAB. NIAS UTARA,1224020,ALASA,122407,Alasa,1224020004,ANAOMA,1224072003,ANAOMA
