Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010001,PAGARAN BIRA JAE,1221012001,PAGARAN BIRA JAE
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010002,PAGARAN BIRA JULU,1221012002,PAGARAN BIRA JULU
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010003,HUTA BARGOT,1221012003,HUTA BARGOT
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010004,SIUNDOL JAE,1221012004,SIUNDOL JAE
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010005,SIUNDOL JULU,1221012005,SIUNDOL JULU
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010006,SIUNDOL DOLOK,1221012006,SIUNDOL DOLOK
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010007,HUTA BARU SIUNDOL,1221012007,HUTA BARU SIUNDOL
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010008,BINANGA TOLU,1221012008,BINANGA TOLU
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010009,AEK BARGOT,1221012009,AEK BARGOT
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010010,ULU AER,1221012010,ULU AER
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010011,HULIM,1221012011,HULIM
1221,KAB. PADANG LAWAS,1221,KAB. PADANG LAWAS,1221010,SOSOPAN,122101,Sosopan,1221010012,SIANGGUNAN,1221012012,SIANGGUNAN
