Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010001,PANGKAL DOLOK LAMA,1220072002,PANGKAL DOLOK LAMA
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010002,PANGKAL DOLOK JULU,1220072003,PANGKAL DOLOK JULU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010003,BATANG ONANG BARU,1220072008,BATANG ONANG BARU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010004,BONAN DOLOK,1220072006,BONAN DOLOK
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010005,BATANG ONANG LAMA,1220072005,BATANG ONANG LAMA
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010006,PINTU PADANG,1220072004,PINTU PADANG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010007,GALANGGANG,1220072013,GALANGGANG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010008,HUTA LAMBUNG,1220072012,HUTA LAMBUNG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010009,GUNUNG TUA BATANG ONANG,1220072015,GUNUNGTUA BATANG ONANG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010010,SIMANAPANG,1220072016,SIMANAPANG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010011,SIMANINGGIR PSM,1220072017,SIMANINGGIR
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010012,BATU MAMAK,1220072018,BATU MAMAK
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010013,PADANG GARUGUR,1220072019,PADANG GARUGUR
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010014,GUNUNG TUA TUMBU JATI,1220072014,GUNUNGTUA TUMBU JATI
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010015,BATU PULUT,1220072011,BATU PULUT
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010016,GUNUNG TUA JULU,1220072024,GUNUNG TUA JULU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010017,PASAR MATANGGOR,1220072010,PASAR MATANGGOR
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010018,PADANG MATINGGI,1220072020,PADANG MATINGGI
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010019,SAYUR MATINGGI,1220071001,SAYUR MATINGGI
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010020,JANJI MAULI,1220072022,JANJI MAULI
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010021,SIMARDONA,1220072007,SIMARDONA
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010022,SAYUR MATINGGI JULU,1220072023,SAYUR MATINGGI JULU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010023,PURBA TUA,1220072021,PURBA TUA
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010024,PARAU SORAT,1220072009,PARAU SORAT
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010025,PASIR AMPULO HOPONG,1220072025,PASIR AMPOLU HOPONG
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010026,TAMOSU,1220072027,TAMOSU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010027,PAGARAN BATU,1220072026,PAGARAN BATU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010028,SIMANGAMBAT DOLOK,1220072028,SIMANGAMBAT DOLOK
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010029,PADANG BUJUR BARU,1220072030,PADANG BUJUR BARU
1220,KAB. PADANG LAWAS UTARA,1220,KAB. PADANG LAWAS UTARA,1220010,BATANG ONANG,122007,Batang Onang,1220010030,JANJI MANAHAN,1220072029,JANJI MANAHAN
