Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010001,SIBONGKARAS,1215032009,SIBONGKARAS
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010002,KUTA TINGGI,1215032013,KUTA TINGGI
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010003,PENANGGALEN BINANGA BOANG,1215032014,PENANGGALAN BINANGA BOANG
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010004,SALAK I,1215032001,SALAK I
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010005,SALAK II,1215032002,SALAK II
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216010,SALAK,121503,Salak,1216010006,BOANG MANALU,1215032003,BOANGMANALU
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216011,SITELLU TALI URANG JEHE,121501,Sitelu Tali Urang Jehe,1216011001,KABAN TENGAH,1215012003,KABAN TENGAH
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216011,SITELLU TALI URANG JEHE,121501,Sitelu Tali Urang Jehe,1216011002,BANDAR BARU,1215012004,BANDAR BARU
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216011,SITELLU TALI URANG JEHE,121501,Sitelu Tali Urang Jehe,1216011003,TANJUNG MERIAH,1215012001,TANJUNG MERIAH
1216,KAB. PAKPAK BHARAT,1215,KAB. PAKPAK BHARAT,1216011,SITELLU TALI URANG JEHE,121501,Sitelu Tali Urang Jehe,1216011004,TANJUNG MULIA,1215012002,TANJUNG MULIA
