Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010001,BOHO,1217062007,BOHO
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010002,AEK SIPITUDAI,1217062004,AEK SIPITUDAI
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010003,SINGKAM,1217062002,SINGKAM
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010004,SARIMARRIHIT,1217062009,SIMARIHIT
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010005,SIANJUR MULAMULA,1217062006,SIANJUR MULA MULA
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010006,GINOLAT,1217062010,GINOLAT
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010007,HUTAGINJANG,1217062001,HUTA GINJANG
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010008,SIBORO,1217062008,SIBORO
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010009,HUTAGURGUR,1217062005,HUTA GURGUR
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010010,BONANDOLOK,1217062011,BONAN DOLOK
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010011,HASINGGAAN,1217062003,HASINGGAAN
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217010,SIANJUR MULAMULA,121706,Sianjar Mula Mula,1217010012,HABEAHAN NABURAHAN,1217062012,HABEAHAN NABURAHAN
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217020,HARIAN,121705,Harian,1217020001,PARTUNGKO NAGINJANG,1217052002,PARTUNGKONAGINJANG
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217020,HARIAN,121705,Harian,1217020004,SIPARMAHAN,1217052007,SIPARMAHAN
1217,KAB. SAMOSIR,1217,KAB. SAMOSIR,1217020,HARIAN,121705,Harian,1217020005,DOLOK RAJA,1217052004,DOLOK RAJA
