Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010001,HUTA GALUH,1218102023,HUTA GALUH
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010002,RUBUN DUNIA,1218102024,RUBUN DUNIA
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010003,SIALTONG,1218102022,SIALTONG
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010004,BANDAR BAYU,1218102013,BANDAR BAYU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010005,KOTARIH BARU,1218102002,KUTARIH BARU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010006,DURIAN KONDOT,1218102014,DURIAN KONDOT
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010007,KOTARIH PEKAN,1218102001,KUTARIH PEKAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010008,PERBAHINGAN,1218102015,PERBAHINGAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010009,SEI KARIH,1218102010,SEI KARI
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010010,BANJARAN GODANG,1218102003,BANJARAN GODANG
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218010,KOTARIH,121810,Kotarih,1218010011,SEI UJAN-UJAN,1218102004,SI UJAN-UJAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011001,PAMAH,1218112022,PAMAH
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011002,TAREAN,1218112029,TAREAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011003,TAPAK MERIAH,1218112031,TAPAK MERIAH
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011004,PAGAR MANIK,1218112021,PAGAR MANIK
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011005,SILINDA,1218112026,SILINDA
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011006,DAMAK GELUGUR,1218112013,DAMAK GELUGUR
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011007,KULASAR,1218112016,KULASAR
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011008,SUNGAI BUAYA,1218112028,SUNGAI BUAYA
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218011,SILINDA,121811,Silinda,1218011009,BATU MASAGI,1218112004,BATU MASAGI
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012001,DAMAK TOLONG BUHO,1218172012,DAMAK TOLONG BUHO
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012002,GUDANG GARAM,1218172001,GUDANG GARAM
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012003,DOLOK MASANGO,1218172002,DOLOK MASANGO
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012004,SARANG GITING HULU,1218172018,SARANG GINTING HULU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012005,PEGAJAHAN HULU,1218172008,PEGAJAHAN HULU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012006,BINTANG BAYU,1218172010,BINTANG BAYU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012007,PEGAJAHAN KAHAN,1218172014,PEGAJAHAN KAHAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012008,SIAHAP,1218172019,SIAHAP
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012009,BANDAR MAGODANG,1218172006,BANDAR MAGODANG
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012010,SARANG GITING KAHAN,1218172017,SARANG GINTING KAHAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012011,KAMPUNG KRISTEN,1218172016,KAMPUNG KRISTEN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012012,UJUNG NEGERI HULU,1218172007,UJUNG NEGERI HULU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012013,UJUNG NEGERI KAHAN,1218172005,UJUNG NEGERI KAHAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012014,BANDAR NEGERI,1218172004,BANDAR NEGERI
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012015,MARIHAT DOLOK,1218172009,MARIHAT DOLOK
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012016,HUTA DURIAN,1218172015,HUTA DURIAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012017,BANDAR PINANG KEBUN,1218172011,BANDAR PINANG KEBON
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012018,BANDAR PINANG RAMBE,1218172013,BANDAR PINANG RAMBE
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218012,BINTANG BAYU,121817,Bintang Bayu,1218012019,PANOMBEAN,1218172003,PANOMBEAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020001,PERTAMBATAN,1218092013,PERTAMBATAN
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020002,BAH KERAPUH,1218092027,BAH KERAPUH
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020003,DOLOK SAGALA,1218092009,DOLOK SAGALA
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020004,BUKIT CERMIN HILIR,1218092017,BUKIT CERMIN HILIR
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020005,TANJUNG MARIA,1218092026,TANJUNG MERIA
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020006,UJUNG SILAU,1218092028,UJUNG SILAU
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020007,KERAPUH,1218092025,KERAPUH
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020008,SARANG TOROP,1218092021,SARANG TOROP
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020009,SARANG GINTING,1218092019,SARANG GITING
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020010,DOLOK MANAMPANG,1218092010,DOLOK MANAMPANG
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020011,PEKAN DOLOK MASIHUL,1218091029,PKN.DOLOK MASIHUL
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020012,ARAS PANJANG,1218092023,ARAS PANJANG
1218,KAB. SERDANG BEDAGAI,1218,KAB. SERDANG BEDAGAI,1218020,DOLOK MASIHUL,121809,Dolok Masihul,1218020013,MARTEBING,1218092024,MARTEBING
