Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010002,SIBANGUN MERIAH,1208252003,BANGUN MARIAH
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010004,SARIBU DOLOK,1208251012,SERIBU DOLOK
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010005,PURBA SINOMBAH,1208252004,PURBA SINOMBAH
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010006,PURBA TUA,1208252006,PURBA TUA
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010011,PURBA TUA BARU,1208252009,PURBA TUA BARU
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010014,SINAR BARU,1208252014,SINAR BARU
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209010,SILIMAKUTA,120825,Silimakuta,1209010015,PURBA TUA ETEK,1208252016,PURBATUA ETEK
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209011,PEMATANG SILIMAHUTA,120831,Pamatang Silima Huta,1209011001,UJUNG SARIBU,1208312001,UJUNG SARIBU
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209011,PEMATANG SILIMAHUTA,120831,Pamatang Silima Huta,1209011002,SILIMAKUTA BARAT,1208312002,SILIMAKUTA BARAT
1209,KAB. SIMALUNGUN,1208,KAB. SIMALUNGUN,1209011,PEMATANG SILIMAHUTA,120831,Pamatang Silima Huta,1209011003,SIBORAS,1208312003,SIBORAS
