Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010056,SORIK,1203072030,SORIK
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010057,PADANG KAHOMBU,1203072029,PADANG KAHOMBU
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010058,HUTA PADANG,1203072058,HUTA PADANG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010059,SORI MADINGIN PP,1203072057,SORIMADINGIN PP
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010061,HURASE,1203072055,HURASE
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010069,SIGULANG LOSUNG,1203072053,SIGULANG LOSUNG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010075,PASAR LAMA,1203072021,PASAR LAMA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010076,SIGALANGAN,1203071001,SIGALANGAN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010079,JANJI MANAON,1203072018,JANJI MANAON
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010081,BARGOT TOPONG,1203072047,BARGOT TOPONG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010083,SIDADI II,1203072063,SIDADI II
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010084,SIDADI I,1203072016,SIDADI I
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010099,AEK NAULI,1203072005,AEK NAULI
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010114,BENTENG HURABA,1203072027,BENTENG HURABA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010115,KELURAHAN PINTU PADANG I,1203071060,PINTU PADANG RAYA SATU
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010116,KELURAHAN PINTU PADANG II,1203071061,PINTU PADANG RAYA DUA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010117,BANGUN PURBA,0,0
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010118,SITAMPA,1203072020,SITAMPA SIMATORAS
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010120,SIBULELE MUARA,1203072045,SIBULELE MUARA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010121,AEK GUNUNG,1203072067,AEK GUNUNG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203010,BATANG ANGKOLA,120307,Batang Angkola,1203010126,TAHALAK UJUNG GADING,1203072062,TAHALAK UJUNG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011031,HUTA PARDOMUAN,1203212026,HUTA PARDOMUAN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011032,AEK BADAK JULU,1203212024,AEK BADAK JULU
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011033,AEK BADAK JAE,1203212023,AEK BADAK JAE
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011038,AEK LIBUNG,1203212018,AEK LIBUNG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011043,BULU GADING,1203212013,BULU GADING
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011044,BANGE,1203212012,BANGE
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011047,TOLANG JAE,1203212009,TOLANG JAE
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011048,MONDANG,1203212004,MONDANG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011049,JANJI MAULI BARINGIN,1203212003,JANJI MAULI BARINGIN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011050,TOLANG JULU,1203212008,TOLANG JULU
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011051,SIPANGE GODANG,1203212007,SIPANGE GODANG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011052,SIPANGE JULU,1203212006,SIPANGE JULU
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011053,SIALANG,1203212005,SIALANG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011058,SOMANGGAL PARMONANGAN,1105092005,PASI ACEH. TUNONG
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011059,LUMBAN HUAYAN,1203212059,LUMBAN HUAYAN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011060,SAYUR MATINGGI,1203211063,SAYUR MATINGGI
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011061,SILAIYA,1203212057,SILAIYA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011062,SILAIYA TANJUNG LEUK,1203212062,SILAIYA TANJUNG LEUK
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203011,SAYUR MATINGGI,120321,Sayur Matinggi,1203011063,SIPANGE SIUNJAM,1203212056,SIPANGE SIUNJAM
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012001,SIMANINGGIR,1203062013,PERKEBUNAN MARPINGGAN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012002,KOTA TUA,1203302012,KOTA TUA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012003,HAREAN,1203302015,HAREAN
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012004,LUMBAN RATUS,1203302011,LUMBAN RATUS
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012005,SISOMA,1203302010,SISOMA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012006,INGUL JAE,1203302009,INGUL JAE
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012007,LUMBAN JABI-JABI,1203302008,LUMBAN JABI-JABI
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012008,PURBATUA,1203302007,PURBA TUA
1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,1203012,TANO TOMBANGAN ANGKOLA,120330,Tano Tombangan Angkola,1203012009,HUTARAJA,1203302014,HUTA RAJA
