Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010002,PINANG SORI,1201041001,PINANGSORI
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010003,GUNUNG MARIJO,1201042002,GUNUNG MARIJO
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010004,SIHAPORAS,1201042003,SIHAPORAS
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010005,SITONONG BANGUN,1201041004,SITONONG BANGUN
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010006,TOGA BASIR,1201042005,TOGA BASIR
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010007,PINANG BARU,1201041007,PINANGBARU
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010008,PARJALIHOTAN BARU,1201042006,PARJALIHOTAN BARU
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010009,DANAU PANDAN,1201042008,DANAU PANDAN
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010010,SORI NAULI,1201041010,SORI NAULI
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204010,PINANG SORI,120104,Pinangsori,1204010011,ALBION PRANCIS,1201041009,ALBION PRANCIS
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011001,SITARDAS,1201152009,SITARDAS
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011002,JAGO-JAGO,1201152003,JAGO JAGO
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011003,HUTABALANG,1201151001,HUTABALANG
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011004,LOPIAN,1201151002,LOPIAN
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011005,AEK HORSIK,1201152004,AEK HORSIK
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011006,KEBUN PISANG,1201152006,KEBUN PISANG
1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,1204011,BADIRI,120115,Badiri,1204011007,GUNUNG KELAMBU,1201152005,GUNUNG KELAMBU
