Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030001,MANALU PURBA,1202112002,MANALU PURBA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030002,MANALU DOLOK,1202112003,MANALU DOLOK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030003,MANALU,1202112001,MANALU
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030004,HUTA JULU,1202112004,HUTAJULU
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030005,AEK RAJA,1202112005,AEK RAJA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030006,HUTA TINGGI,1202112006,HUTATINGGI
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030007,LOBU SUNUT,1202112007,LOBUSUNUT
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030008,SISORDAK,1202112008,SISORDAK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030009,HUTATUA,1202112010,HUTATUA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030010,PERTENGAHAN,1202112009,PERTENGAHAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030011,HUTAJULU PARBALIK,1202112011,HUTAJULU PARBALIK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030012,HORISAN RANGGITGIT,1202112012,HORISAN RANGGITGIT
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030013,PURBA DOLOK,1202112013,PURBA DOLOK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205030,PARMONANGAN,120211,Parmonangan,1205030014,BATUARIMO,1202112014,BATUARIMO
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040001,PAGARAN LAMBUNG I,1202032013,PANGARAN LAMBUNG I
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040002,SIBALANGA,1202032005,SIBALANGA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040003,PAGARAN LAMBUNG II,1202032014,PANGARAN LAMBUNG II
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040004,PAGARAN LAMBUNG III,1202032006,PAGARAN LAMBUNG III
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040005,PAGARAN PISANG,1202032009,PANGARAN PISANG
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040006,ADIANKOTING,1202032008,ADIAN KOTING
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040007,DOLOK NAULI,1202032001,DOLOK NAULI
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040008,BANUAJI IV,1202032010,BANUAJI IV
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040009,BANUAJI I,1202032011,BANUAJI I
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040010,BANUAJI II,1202032012,BANUAJI II
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040011,PANSUR BATU,1202032002,PANSURBATU
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040012,PARDOMUAN NAULI,1202032003,PARDOMUAN NAULI
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040013,SIANTAR NAI POSPOS,1202032004,SIANTAR NAIPOSPOS
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040014,PAGARAN LAMBUNG IV,1202032007,PAGARAN LAMBUNG IV
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040015,PANSUR BATU II,1202032016,PANSURBATU II
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205040,ADIANKOTING,120203,Adian Koting,1205040016,PANSUR BATU I,1202032015,PANSURBATU I
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050001,RURA JULU TORUAN,1202042011,RURA JULU TORUAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050002,RURA JULU DOLOK,1202042010,RURA JULU DOLOK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050003,SIMANUNGKALIT,1202042003,SIMANUNGKALIT
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050004,HUTAURUK,1202042002,HUTAURUK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050005,SITUMEANG HABINSARAN,1202041001,SITUMEANG HABINSARAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050006,SITUMEANG HASUNDUTAN,1202042004,SITUMEANG HASUNDUTAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050007,LOBUSINGKAM,1202042009,LOBU SINGKAM
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050008,PAGAR BATU,1202042013,PAGARBATU
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050009,SIPAHUTAR,1202042005,SIPAHUTAR
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050010,HUTA RAJA,1202042008,HUTA RAJA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050011,TAPIAN NAULI,1202042007,TAPIAN NAULI
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050012,HUTA RAJA HASUNDUTAN,1202042012,HUTARAJA HASUNDUTAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050013,HUTA RAJA SIMANUNGKALIT,1202042014,HUTARAJA SIMANUNGKALIT
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205050,SIPOHOLON,120204,Sipoholon,1205050014,HUTAURUK HASUNDUTAN,1202042015,HUTAURUK HASUNDUTAN
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060001,SIANDOR ANDOR,1202012011,SIANDOR-ANDOR
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060002,HUTAPEA BANUAREA,1202012010,HUTAPEA BANUAREA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060008,PARBUBU PEA,1202012017,PARBUBU PEA
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060009,PARBUBU II,1202012009,PARBUBU II
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060010,PARBUBU DOLOK,1202012014,PARBUBU DOLOK
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060011,HUTA TORUAN VIII,1202012020,HUTATORUAN VIII
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060012,PARBUBU I,1202012008,PARBUBU I
1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,1205060,TARUTUNG,120201,Tarutung,1205060013,HUTATORUAN I,1202012030,HUTATORUAN I
