Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030004,AEK BOLON JULU,1212012013,AEK BOLON JULU
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030005,AEK BOLON JAE,1212012024,AEK BOLON JAE
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030006,SIBORUON,1212012027,SIBORUON
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030007,HUTAGAOL PEATALUM,1212012004,HUTAGAOL PEATALUN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030008,BONAN DOLOK II,1212012030,BONAN DOLOK II
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030009,HUTA NAMORA,1212012003,HUTANAMORA
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030010,HUTA DAME,1212012032,HUTA DAME
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030011,BONAN DOLOK I,1212012029,BONAN DOLOK I
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030012,BONAN DOLOK III,1212012031,BONAN DOLOK III
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030013,SIBUNTUON,1212012026,SIBUNTUON
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030014,LUMBAN GORAT,1212012025,LUMBAN GORAT
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030015,SIANIPAR SIHAIL HAIL,1212012016,SIANIPAR SIHAILHAIL
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030016,SILALAHI PAGAR BATU,1212012017,SILALAHI PAGAR BATU
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030017,HINALANG BAGASAN,1212012005,HINALANG BAGASAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030018,SANGKAR NIHUTA,1212011037,SANGKAR NIHUTA
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030019,PARDEDE ONAN,1212011036,PARDEDE ONAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030020,NAPITUPULU BAGASAN,1212011039,NAPITUPULU BAGASAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030021,BALIGE III,1212011035,BALIGE III
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030022,BALIGE II,1212012023,BALIGE II
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030023,PAINDOAN,1212012028,PAINDOAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030024,PARSURATAN,1212012011,PARSURATAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030025,HUTA BULU MEJAN,1212012008,HUTABULU MEJAN
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030026,SARIBURAJA JANJI MARIA,1212012019,SARIBU RAJA JANJI MARIA
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030027,BARU ARA,1212012012,BARUARA
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030028,MATIO,1212012006,MATIO
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030029,LUMBAN PEA,1212012007,LUMBAN PEA
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030030,LUMBAN GAOL,1212012010,LUMBAN GAOL
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030031,SIBOLA HOTANGSAS,1212012014,SIBOLAHOTANG SAS
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030032,LUMBAN BUL BUL,1212012015,LUMBAN BULBUL
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030033,BALIGE I,1212011034,BALIGE I
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030034,LUMBAN DOLOK,1212011038,LUMBAN DOLOK HAUMA BANGE
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030035,LONGAT,1212012022,LONGAT
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030037,LUMBAN SILINTONG,1212012018,LUMBAN SILINTONG
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030038,LUMBAN PEA TIMUR,1212012040,LUMBAN PEA TIMUR
1206,KAB. TOBA,1212,KAB. TOBA,1206030,BALIGE,121201,Balige,1206030039,TAMBUNAN SUNGE,1212012041,TAMBUNAN SUNGE
1206,KAB. TOBA,1212,KAB. TOBA,1206031,TAMPAHAN,121222,Tampahan,1206031001,TANGGA BATU BARAT,1212222005,TANGGA BATU BARAT
1206,KAB. TOBA,1212,KAB. TOBA,1206031,TAMPAHAN,121222,Tampahan,1206031002,TANGGA BATU TIMUR,1212222006,TANGGA BATU TIMUR
