Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010001,TANAH MERAH,1275051001,TANAH MERAH
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010002,BHAKTI KARYA,1275051003,BHAKTI KARYA
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010003,TANAH SERIBU,1275051006,TANAH SERIBU
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010004,PUJI DADI,1275051005,PUJIDADI
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010005,BINJAI ESTATE,1275051002,BINJAI ESTATE
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010006,RAMBUNG BARAT,1275051007,RAMBUNG BARAT
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010007,RAMBUNG DALAM,1275051004,RAMBUNG DALAM
1276,KOTA BINJAI,1275,KOTA BINJAI,1276010,BINJAI SELATAN,127505,Binjai Selatan,1276010008,RAMBUNG TIMUR,1275051008,RAMBUNG TIMUR
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020001,BERNGAM,1275021001,BERNGAM
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020002,SATRIA,1275021002,SATRIA
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020003,SETIA,1275021003,SETIA
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020004,KARTINI,1275021004,KARTINI
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020005,TANGSI,1275021005,TANGSI
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020006,BINJAI,1275021006,BINJAI
1276,KOTA BINJAI,1275,KOTA BINJAI,1276020,BINJAI KOTA,127502,Binjai Kota,1276020007,PEKAN BINJAI,1275021007,PEKAN BINJAI
1276,KOTA BINJAI,1275,KOTA BINJAI,1276030,BINJAI TIMUR,127504,Binjai Timur,1276030001,MENCIRIM,1275041004,MENCIRIM
1276,KOTA BINJAI,1275,KOTA BINJAI,1276030,BINJAI TIMUR,127504,Binjai Timur,1276030002,TUNGGURONO,1275041005,TUNGGURONO
1276,KOTA BINJAI,1275,KOTA BINJAI,1276030,BINJAI TIMUR,127504,Binjai Timur,1276030003,DATARAN TINGGI,1275041002,DATARAN TINGGI
