Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010001,HILIMBOWO IDANOI,1278042022,HILIMBOWO IDANOI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010002,HILIWETO IDANOI,1278042021,HILIWETO IDANOI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010003,TUHEGEO II,1278042026,TUHEGEO II
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010004,SAMASI,1278042025,SAMASI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010005,LOLOANAA IDANOI,1278042015,LOLO`ANA`A IDANOI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010006,OMBOLATA,1278042024,OMBOLATA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010007,ONOWAEMBO,1278042023,ONOWAEMBO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010008,SIWALUBANUA I,1278042016,SIWALUBANUA I
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010009,AWAAI,1278042018,AWA`AI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010010,LEWUOGURU IDANOI,1278042019,LEWUOGURU IDANOI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010011,FADORO,1278042020,FADORO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010012,SIFALAETE,1278042001,SIFALAETE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010013,HILIHAMBAWA,1278042017,HILIHAMBAWA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010014,TETEHOSI I,1278042010,TETEHOSI I
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010015,TETEHOSI II,1278042014,TETEHOSI II
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010016,BINAKA,1278042012,BINAKA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010017,IDANOTAE,1278042013,IDANOTAE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010018,FOWA,1278042011,FOWA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010019,SIWALUBANUA II,1278042008,SIWALUBANUA II
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010020,HUMENE,1278042007,HUMENE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010021,SIMANAERE,1278042006,SIMANAERE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010022,HELEFANIKHA,1278042009,HELEFANIKHA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010023,TUHEGEO I,1278042005,TUHEGEO I
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010024,DAHANA,1278042003,DAHANA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010025,HILIMBAWADESOLO,1278042002,HILIMBAWODESOLO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278010,GUNUNGSITOLI IDANOI,127804,Gunungsitoli Idanoi,1278010026,BAWODESOLO,1278042004,BAWODESOLO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020001,LOLOLAKHA,1278022008,LOLOLAKHA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020002,ONOZITOLI TABALOHO,1278022007,ONOZITOLI TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020003,SIHAREO I TABALOHO,1278022009,SIHARE`O I TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020004,OMBOLATA SIMENARI,1278022010,OMBOLATA SIMENARI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020005,MAZINGO TABALOHO,1278022006,MAZINGO TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020006,ONONAMOLO I LOT,1278022001,ONONAMOLO I LOT
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020007,LUAHA LARAGA,1278022012,LUAHALARAGA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020008,LOLOMBOLI,1278022005,LOLOMBOLI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020009,FODO,1278022002,FODO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020010,FAEKHU,1278022003,FAEKHU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020011,LOLOFAOSO TABALOHO,1278022004,LOLOFAOSO TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020012,HILIGARA,1278022011,HILIGARA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020013,HILIGODU OMBOLATA,1278022014,HILIGODU OMBOLATA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020014,TETEHOSI OMBALATA,1278022015,TETEHOSI OMBOLATA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278020,GUNUNGSITOLI SELATAN,127802,Gunungsitoli Selatan,1278020015,SISOBAHILI II TANOSEO,1278022013,SISOBAHILI II TANOSE`O
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030001,ONOZIKHO,1278062008,ONOZIKHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030002,GADA,1278062004,GADA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030003,HILINAKHE,1278062007,HILINAKHE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030004,LOLOMOYO TUHEMBERUA,1278062005,LOLOMOYO TUHEMBERUA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030005,SIHAREO SIWAHILI,1278062006,SIHARE`O SIWAHILI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030006,TUMORI BALOHILI,1278062002,TUMORI BALOHILI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030007,TUMORI,1278062001,TUMORI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030008,ORAHILI TUMORI,1278062003,ORAHILI TUMORI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278030,GUNUNGSITOLI BARAT,127806,Gunungsitoli Barat,1278030009,ONONAMOLO II LOT,1278062009,ONONAMOLO II LOT
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040001,MIGA,1278012015,MIGA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040002,SIHAREO II,1278012024,SIHARE`O II TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040003,ILIR,1278011032,ILIR
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040004,SIFALAETE TABALOHO,1278012022,SIFALAETE TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040005,DAHANA,1278012004,DAHANA TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040006,SISOBAHILI TABALOHO,1278012028,SISOBAHILI TABALOHO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040007,DAHADANO GAWU GAWU,1278012003,DAHADANO GAWU-GAWU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040008,LASARA BAHILI,1278012010,LASARA BAHILI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040009,MUDIK,1278012014,MUDIK
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040010,BOYO,1278012002,BOYO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040011,HILINA A,1278012008,HILINA`A
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040012,LELEWONU NIKOOTANO,1278012011,LOLOWONU NIKO`OTANO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040013,SIMANDRAOLO,1278012025,SIMANDRAOLO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040014,MADOLAOLI,1278012013,MADOLAOLI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040015,SISARAHILI SISAMBALAHE,1278012027,SISARAHILI SISAMBUALAHE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040016,ONOWAEMBO,1278012018,ONOWAEMBO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040017,FADORO LASARA,1278012005,FADORO LASARA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040018,TUHEMBERUA ULU,1278012029,TUHEMBERUA ULU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040019,ONOZITOLI SIFOROASI,1278012020,ONOZITOLI SIFAOROASI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040020,PASAR GUNUNG SITOLI,1278011030,PASAR GUNUNGSITOLI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040021,SAOMBO,1278011031,SAOMBO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040022,IRAONOGEBA,1278012009,IRAONOGEBA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040023,OMBOLATA ULU,1278012017,OMBOLATA ULU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040024,MOAWO,1278012016,MO`AWO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040025,SAEWE,1278012021,SAEWE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040026,SIFALAETE ULU,1278012023,SIFALAETE ULU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040027,HILIMBARUZO,1278012007,HILIMBARUZO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040028,HILI HAO,1278012006,HILIHAO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040029,SISARAHILI GAMO,1278012026,SISARAHILIGAMO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040030,BAWADESOLO,1278012001,BAWODESOLO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040031,ONOZITOLI OLORA,1278012019,ONOZITOLI OLORA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278040,GUNUNG SITOLI,127801,Gunungsitoli,1278040032,MADULA,1278012012,MADULA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050001,FADORO YOU,1278052007,FADORO YOU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050002,NAZALOU ALOOA,1278052001,NAZALOU ALO`OA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050003,NIKOOTANO DAO,1278052002,NIKO`OTANO DAO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050004,NAZALOU LOLOWUA,1278052009,NAZALOU LOLOWUA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050005,LOLOLAWA,1278052008,LOLOLAWA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050006,ORAHILI TANOSEO,1278052004,ORAHILI TANOSE`O
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050007,TARAKHAINI,1278052005,TARAKHAINI
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050008,FADORO HILIMBOWO,1278052006,FADORO HILIMBOWO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278050,GUNUNGSITOLI ALO OA,127805,Gunungsitoli Alo'oa,1278050009,IRAONO LASE,1278052003,IRAONOLASE
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060001,HILIGODU ULU,1278032010,HILIGODU ULU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060002,HILIMBOWO OLORA,1278032009,HILIMBOWO OLORA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060003,OLORA,1278032008,OLORA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060004,GAWU GAWU BOUSO,1278032007,GAWU-GAWU BO`USO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060005,LOLOANAA / LOLOMOYO,1278032002,LOLOANAA LOLOMOYO
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060006,LASARA SOWU,1278032003,LASARA SOWU
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060007,HAMBAWA,1278032006,HAMBAWA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060008,TETEHOSI AFIA,1278032005,TETEHOSI AFIA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060009,AFIA,1278032001,AFIA
1278,KOTA GUNUNGSITOLI,1278,KOTA GUNUNGSITOLI,1278060,GUNUNGSITOLI UTARA,127803,Gunungsitoli Utara,1278060010,TELUK BELUKAR,1278032004,TELUKBELUKAR
