Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010001,BARU LADANG BAMBU,1271071007,LADANG BAMBU
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010002,SIDOMULYO,1271071006,SIDOMULYO
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010003,LAU CIH,1271071005,LAUCIH
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010004,NAMU GAJAH,1271071003,NAMO GAJAH
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010005,KEMENANGAN TANI,1271071004,KEMENANGAN TANI
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010006,SIMALINGKAR B,1271071008,SIMALINGKAR B
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010007,SIMPANG SELAYANG,1271071002,SIMPANG SELAYANG
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010008,TANJUNG SELAMAT,1271071001,TANJUNG SELAMAT
1275,KOTA MEDAN,1271,KOTA MEDAN,1275010,MEDAN TUNTUNGAN,127107,Medan Tuntungan,1275010009,M A N G G A,1271071009,MANGGA
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020001,KWALA BEKALA,1271111006,KWALA BEKALA
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020002,GEDUNG JOHOR,1271111005,GEDUNG JOHOR
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020003,KEDAI DURIAN,1271111003,KEDAI DURIAN
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020004,SUKA MAJU,1271111001,SUKA MAJU
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020005,TITI KUNING,1271111002,TITI KUNING
1275,KOTA MEDAN,1271,KOTA MEDAN,1275020,MEDAN JOHOR,127111,Medan Johor,1275020006,PANGKALAN MASYHUR,1271111004,PANGKALAN MANSUR
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030001,HARJOSARI II,1271091005,HARJOSARI II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030002,SITIREJO II,1271091002,SITIREJO II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030003,SITIREJO III,1271091003,SITIREJO III
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030004,HARJOSARI I,1271091004,HARJOSARI I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030005,A M P L A S,1271091001,AMPLAS
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030006,TIMBANG DELI,1271091006,TIMBANG DELI
1275,KOTA MEDAN,1271,KOTA MEDAN,1275030,MEDAN AMPLAS,127109,Medan Amplas,1275030007,BANGUN MULIA,1271091007,BANGUN MULIA
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040001,B I N J A I,1271041005,BINJAI
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040002,MEDAN TENGGARA,1271041006,MEDAN TENGGARA
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040003,D E N A I,1271041004,DENAI
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040004,TEGAL SARI MANDALA III,1271041003,TEGAL S MANDALA III
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040005,TEGAL SARI MANDALA II,1271041002,TEGAL S MANDALA II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275040,MEDAN DENAI,127104,Medan Denai,1275040006,TEGAL SARI MANDALA I,1271041001,TEGAL S MANDALA I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050001,PASAR MERAH TIMUR,1271101009,PASAR MERAH TIMUR
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050002,TEGAL SARI II,1271101011,TEGAL SARI II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050003,TEGAL SARI III,1271101012,TEGAL SARI III
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050004,TEGAL SARI I,1271101010,TEGAL SARI I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050005,SUKARAMAI I,1271101001,SUKARAMAI I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050006,KOTA MATSUM II,1271101007,KOTA MATSUM II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050007,KOTA MATSUM IV,1271101008,KOTA MATSUM IV
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050008,KOTA MATSUM I,1271101006,KOTA MATSUM I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050009,SEI RENGAS PERMATA,1271101004,S. RENGAS PERMATA
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050010,SUKARAMAI II,1271101002,SUKARAMAI II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050011,SEI RENGAS II,1271101003,SEI RENGAS II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275050,MEDAN AREA,127110,Medan Area,1275050012,PANDAU HULU II,1271101005,PANDAU HULU II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060001,SITI REJO I,1271011012,SITIREJO I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060002,SUDI REJO II,1271011011,SUDIREJO II
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060003,SUDI REJO I,1271011010,SUDIREJO 1
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060004,TELADAN TIMUR,1271011008,TELADAN TIMUR
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060005,TELADAN BARAT,1271011009,TELADAN BARAT
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060006,PASAR MERAH BARAT,1271011007,PASAR MERAH BARAT
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060007,M E S J I D,1271011004,MESJID
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060008,KOTA MATSUM III,1271011006,KOTAMATSUM III
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060009,SEI RENGAS I,1271011003,SEI RENGAS I
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060010,PASAR BARU,1271011001,PASAR BARU
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060011,PUSAT PASAR,1271011002,PUSAT PASAR
1275,KOTA MEDAN,1271,KOTA MEDAN,1275060,MEDAN KOTA,127101,Medan Kota,1275060012,PANDAU HULU I,1271011005,PANDAU HULU I
