Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010001,SIHITANG,1277051001,SIHITANG
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010002,PAL IV P KOLING,1277052003,PALOPAT PK
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010003,SALAMBUE,1277052004,SALAMBUE
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010004,SIGULANG,1277052006,SIGULANG
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010005,HUTA KOJE,1277052010,HUTA KOJE
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010006,HUTA LIMBONG,1277052011,HUTALIMBONG
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010007,HUTA PADANG PK,1277052012,HUTAPADANG
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010008,PIJOR KOLING,1277051002,PIJARKOLING
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010009,GOTI,1277052008,GOTI
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010010,MANEGEN,1277052009,MANEGEN
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010011,MANUNGGANG JAE,1277052016,MANUNGGANG JAE
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010012,LABUHAN RASOKI,1277052017,LABUHAN RASOKI
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010013,PURBATUA P KOLING,1277052005,PURBATUA PK
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010014,MANUNGGANG JULU,1277052007,MANUNGGANG JULU
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010015,TARUTUNG BARU,1277052018,TARUTUNG BARU
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010016,HUTA LOMBANG,1277052015,HUTA LOMBANG
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010017,PERKEBUNAN P KOLING,1277052013,PERKEBUNAN PK
1277,KOTA PADANG SIDEMPUAN,1277,KOTA PADANG SIDEMPUAN,1277010,PADANGSIDIMPUAN TENGGARA,127705,Padangsidimpuan Tenggara,1277010018,LABUHAN LABO,1277052014,LABUHAN LABO
