Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010004,SUKAMAKMUR,1272051009,SUKAMAKMUR
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010005,PARDAMEAN,1272051006,PARDAMEAN
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010006,SUKARAJA,1272051002,SUKARAJA
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010007,BP NAULI,1272051005,BARINGIN PANCUR NAULI
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010008,SUKAMAJU,1272051007,SUKAMAJU
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010009,PARHORASAN NAULI,1272051008,PARHORASAN NAULI
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273010,SIANTAR MARIHAT,127205,Siantar Marihat,1273010010,MEKAR NAULI,1272051010,MEKAR NAULI
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011001,SIMARIMBUN,1272081001,SIMARIMBUN
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011002,NAGA HUTA,1272081003,NAGA HUTA
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011003,PEMATANG MARIHAT,1272081005,PEMATANG MARIHAT
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011004,TONG MARIMBUN,1272081002,TONG MARIMBUN
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011005,NAGAHUTA TIMUR,1272081004,NAGA HUTA TIMUR
1273,KOTA PEMATANGSIANTAR,1272,KOTA PEMATANGSIANTAR,1273011,SIANTAR MARIMBUN,127208,Siantar Marimbun,1273011006,MARIHAT JAYA,1272081006,MARIHAT JAYA
