Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271010,SIBOLGA UTARA,127301,Sibolga Utara,1271010001,SIBOLGA ILIR,1273011004,SIBOLGA ILIR
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271010,SIBOLGA UTARA,127301,Sibolga Utara,1271010002,ANGIN NAULI,1273011002,ANGIN NAULI
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271010,SIBOLGA UTARA,127301,Sibolga Utara,1271010003,HUTA TONGA TONGA,1273011003,HUTA TONGA-TONGA
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271010,SIBOLGA UTARA,127301,Sibolga Utara,1271010004,HUTA BARANGAN,1273011001,HUTA BARANGAN
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271010,SIBOLGA UTARA,127301,Sibolga Utara,1271010005,SIMARE-MARE,1273011005,SIMARE-MARE
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271020,SIBOLGA KOTA,127302,Sibolga Kota,1271020001,KOTA BERINGIN,1273021001,KOTA BARINGIN
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271020,SIBOLGA KOTA,127302,Sibolga Kota,1271020002,PASAR BARU,1273021002,PASAR BARU
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271020,SIBOLGA KOTA,127302,Sibolga Kota,1271020003,PASAR BELAKANG,1273021003,PASAR BELAKANG
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271020,SIBOLGA KOTA,127302,Sibolga Kota,1271020004,PANCURAN GEROBAK,1273021004,PANCURAN GEROBAK
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271030,SIBOLGA SELATAN,127303,Sibolga Selatan,1271030003,AEK HABIL,1273031001,AEK HABIL
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271030,SIBOLGA SELATAN,127303,Sibolga Selatan,1271030006,AEK MANIS,1273031002,AEK MANIS
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271030,SIBOLGA SELATAN,127303,Sibolga Selatan,1271030007,AEK PAROMBUNAN,1273031004,AEK PAROMBUNAN
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271030,SIBOLGA SELATAN,127303,Sibolga Selatan,1271030008,AEK MUARA PINANG,1273031003,AEK MUARA PINANG
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271031,SIBOLGA SAMBAS,127304,Sibolga Sambas,1271031001,PANCURAN PINANG,1273041003,PANCURAN PINANG
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271031,SIBOLGA SAMBAS,127304,Sibolga Sambas,1271031002,PANCURAN KERAMBIL,1273041001,PANCURAN KERAMBIL
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271031,SIBOLGA SAMBAS,127304,Sibolga Sambas,1271031003,PANCURAN DEWA,1273041002,PANCURAN DEWA
1271,KOTA SIBOLGA,1273,KOTA SIBOLGA,1271031,SIBOLGA SAMBAS,127304,Sibolga Sambas,1271031004,PANCURAN BAMBU,1273041004,PANCURAN BAMBU
