Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272010,DATUK BANDAR,127405,Datuk Bandar,1272010001,SIJAMBI,1274051005,SIJAMBI
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272010,DATUK BANDAR,127405,Datuk Bandar,1272010002,PAHANG,1274051006,PAHANG
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272010,DATUK BANDAR,127405,Datuk Bandar,1272010003,GADING,1274051003,GADING
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272010,DATUK BANDAR,127405,Datuk Bandar,1272010009,SIRANTAU,1274051004,SIRANTAU
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272010,DATUK BANDAR,127405,Datuk Bandar,1272010010,PANTAI JOHOR,1274051010,PANTAI JOHOR
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272011,DATUK BANDAR TIMUR,127406,Datuk Bandar Timur,1272011001,BUNGA TANJUNG,1274061004,BUNGA TANJUNG
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272011,DATUK BANDAR TIMUR,127406,Datuk Bandar Timur,1272011002,SELAT LANCANG,1274061003,SELAT LANCANG
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272011,DATUK BANDAR TIMUR,127406,Datuk Bandar Timur,1272011003,SELAT TANJUNG MEDAN,1274061005,SELAT TANJUNG MEDAN
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272011,DATUK BANDAR TIMUR,127406,Datuk Bandar Timur,1272011004,SEMULA JADI,1274061002,SEMULA JADI
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272011,DATUK BANDAR TIMUR,127406,Datuk Bandar Timur,1272011005,PULAU SIMARDAN,1274061001,PULAU SIMARDAN
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020001,TANJUNG BALAI KOTA II,1274011002,TANJUNG BALAI KOTA II
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020002,TANJUNG BALAI KOTA I,1274011001,TANJUNG BALAI KOTA I
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020003,KARYA,1274011004,KARYA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020004,PERWIRA,1274011003,PERWIRA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020005,INDRA SAKTI,1274011006,INDRA SAKTI
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272020,TANJUNG BALAI SELATAN,127401,Tanjungbalai Selatan,1272020006,PANTAI BURUNG,1274011005,PANTAI BURUNG
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272030,TANJUNG BALAI UTARA,127402,Tanjungbalai Utara,1272030001,TANJUNG BALAI KOTA  III,1274021001,TANJUNG BALAI KOTA III
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272030,TANJUNG BALAI UTARA,127402,Tanjungbalai Utara,1272030002,MATA HALASAN,1274021005,MATA HALASAN
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272030,TANJUNG BALAI UTARA,127402,Tanjungbalai Utara,1272030003,KWALA SILAU BESTARI,1274021004,KUALO SILAU BESTARI
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272030,TANJUNG BALAI UTARA,127402,Tanjungbalai Utara,1272030004,TANJUNG BALAI KOTA IV,1274021002,TANJUNG BALAI KOTA IV
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272030,TANJUNG BALAI UTARA,127402,Tanjungbalai Utara,1272030005,SEJAHTERA,1274021003,SEJAHTERA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272040,SEI TUALANG RASO,127403,Sei Tualang Raso,1272040001,PASAR BARU,1274031004,PASAR BARU
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272040,SEI TUALANG RASO,127403,Sei Tualang Raso,1272040002,KERAMAT KUBAH,1274031001,KERAMAT KUBAH
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272040,SEI TUALANG RASO,127403,Sei Tualang Raso,1272040003,SUMBER SARI,1274031002,SUMBER SARI
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272040,SEI TUALANG RASO,127403,Sei Tualang Raso,1272040004,MUARA SENTOSA,1274031003,MUARA SENTOSA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272040,SEI TUALANG RASO,127403,Sei Tualang Raso,1272040005,SEI RAJA,1274031005,SUNGAI RAJA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272050,TELUK NIBUNG,127404,Teluk Nibung,1272050001,BETING KWALA KAPIAS,1274041005,BETING KUALA KAPIAS
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272050,TELUK NIBUNG,127404,Teluk Nibung,1272050002,KAPIAS PULAU BUAYA,1274041004,KAPIAS PULAU BUAYA
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272050,TELUK NIBUNG,127404,Teluk Nibung,1272050003,SEI MERBAU,1274041001,SEI MERBAU
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272050,TELUK NIBUNG,127404,Teluk Nibung,1272050004,PEMATANG PASIR,1274041002,PEMATANG PASIR
1272,KOTA TANJUNG BALAI,1274,KOTA TANJUNG BALAI,1272050,TELUK NIBUNG,127404,Teluk Nibung,1272050005,PERJUANGAN,1274041003,PERJUANGAN
