Kode BPS Kabupaten,Nama BPS Kabupaten,Kode DAGRI Kabupaten,Nama DAGRI Kabupaten,Kode BPS Kecamatan,Nama BPS Kecamatan,Kode DAGRI Kecamatan,Nama DAGRI Kecamatan,Kode BPS Desa,Nama BPS Desa,Kode DAGRI Desa,Nama DAGRI Desa
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010001,PABATU,1276011001,PABATU
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010002,LUBUK BARU,1276011002,LUBUK BARU
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010003,PERSIAKAN,1276011006,PERSIAKAN
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010004,BANDARSONO,1276011007,BANDAR SONO
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010008,TUALANG,1276011010,TUALANG
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010011,LUBUK RAYA,1276011012,LUBUK RAYA
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274010,PADANG HULU,127601,Padang Hulu,1274010012,PADANG MERBAU,1276011011,PADANG MERBAU
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011001,MANDAILING,1276051001,MANDAILING
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011002,PASAR GAMBIR,1276051003,PASAR GAMBIR
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011003,RAMBUNG,1276051006,RAMBUNG
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011004,TEBING TINGGI LAMA,1276051007,TEBING TINGGI LAMA
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011005,PASAR BARU,1276051002,PASAR BARU
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011006,BADAK BEJUANG,1276051004,BADAK BEJUANG
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274011,TEBING TINGGI KOTA,127605,Tebing Tinggi Kota,1274011007,BANDAR UTAMA,1276051005,BANDAR UTAMA
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274020,RAMBUTAN,127602,Rambutan,1274020005,RANTAU LABAN,1276021004,RANTAU LABAN
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274020,RAMBUTAN,127602,Rambutan,1274020008,SRI PADANG,1276021011,SRI PADANG
1274,KOTA TEBING TINGGI,1276,KOTA TEBING TINGGI,1274020,RAMBUTAN,127602,Rambutan,1274020009,KARYA JAYA,1276021007,KARYA JAYA
